ekakaviri.4.stressed;I can feel my worries melting away.;;;;;;;;;;;;;x
ekakaviri.4.depressed;Life isn't so bad.;;;;;;;;;;;;;x
ekakaviri.4.accept;A wondrous sight!;;;;;;;;;;;;;x
ekakaviri.5.desc;A storm has begun blanketing the region in snow and sleet. It's unlikely that I'll be able to make much progress in this weather.;;;;;;;;;;;;;x
ekakaviri.5.shelter;Seek shelter in a cave.;;;;;;;;;;;;;x
ekakaviri.5.endure;The Winds are nothing to fear.;;;;;;;;;;;;;x
kamal_pilgrimage_sick;Drained by the Winds;;;;;;;;;;;;;x
kamal_pilgrimage_sick_major;Crippled by the Winds;;;;;;;;;;;;;x
ekakaviri.6.desc;I can hardly see my hand before me in this blizzard. The snow is quickly rendering the terrain unrecognisable, but I think I can find my way back to a nearby cave.;;;;;;;;;;;;;x
ekakaviri.6.shelter;As long as I don't freeze first.;;;;;;;;;;;;;x
ekakaviri.6.endure;It's going to take more than deadly weather to hold me back.;;;;;;;;;;;;;x
ekakaviri.7.desc;A wandering hermit crossed paths with me today. He offered me a hot meal and some of his wisdom, a welcome luxury in the wilds.;;;;;;;;;;;;;x
ekakaviri.7.donate;I thank him for his help.;;;;;;;;;;;;;x
ekakaviri.7.dont;Kind, but not very economical.;;;;;;;;;;;;;x
ekakaviri.8.four_winds;Throw the snowfall, I can see a group of undead beings wandering ahead of me. Some say that they predate even the Kamal in these lands.;;;;;;;;;;;;;x
ekakaviri.8.winter_wind;This is a most fortunate occasion. I have happened across a group of Winter's children, the ever-wandering dead.;;;;;;;;;;;;;x
ekakaviri.8.fight;Die, abominations!;;;;;;;;;;;;;x
ekakaviri.8.venerate;Bow in reverence.;;;;;;;;;;;;;x
ekakaviri.8.study;What secrets do they hold?;;;;;;;;;;;;;x
ekakaviri.10.desc;My wanderings have continued for about a month now. It is time for me to decide in which direction I shall voyage before returning home.;;;;;;;;;;;;;x
ekakaviri.10.kan;South, to the source of Kan's might!;;;;;;;;;;;;;x
ekakaviri.10.ura;West, to the source of Ura's wonder!;;;;;;;;;;;;;x
ekakaviri.10.en;East, to the source of En's justice!;;;;;;;;;;;;;x
ekakaviri.10.zen;North, to the source of Zen's riches!;;;;;;;;;;;;;x
ekakaviri.10.winter;To the coldest mountains!;;;;;;;;;;;;;x
ekakaviri.11.desc;As I wander southwards through the valley, harsh winds continuously slow me. At this rate, it will take me some time to return to my land.;;;;;;;;;;;;;x
ekakaviri.11.accept;Tear through the winds!;;;;;;;;;;;;;x
ekakaviri.11.dont;That's fine.;;;;;;;;;;;;;x
ekakaviri.12.desc;Heading south, a herd of wild cerigyns blocks the pass that leads to my path.;;;;;;;;;;;;;x
ekakaviri.12.accept;Cut through the animals!;;;;;;;;;;;;;x
ekakaviri.12.dont;Admire them calmly.;;;;;;;;;;;;;x
ekakaviri.13.desc;A winding pathway leads up the hill before me. However, it's possible that the adjacent cliffside could be scaled faster.;;;;;;;;;;;;;x
ekakaviri.13.accept;Time to go climbing.;;;;;;;;;;;;;x
ekakaviri.13.dont;Those rocks don't seem very secure.;;;;;;;;;;;;;x
ekakaviri.14.desc;Wandering westwards, I come across the corpse of a poor traveller who couldn't survive the wilds. It seems that there are some papers among their remaining belongings.;;;;;;;;;;;;;x
ekakaviri.14.accept;Fuel for the mind.;;;;;;;;;;;;;x
ekakaviri.14.dont;Fuel for the fire.;;;;;;;;;;;;;x
ekakaviri.15.desc;Waking from my rest, I see that the western wind has carried a storm my way. I can wait out the storm, but there might be some crisis at home that needs my attention!;;;;;;;;;;;;;x
ekakaviri.15.accept;Everything will be fine.;;;;;;;;;;;;;x
ekakaviri.15.dont;I've got to get back to [Root.Capital.GetName]!;;;;;;;;;;;;;x
ekakaviri.16.desc;Cresting a hill, I see crystaline snow falling gently from the sky, carpeting the valley below. The Winds, whatever their true nature, are undeniably what shape this land.;;;;;;;;;;;;;x
ekakaviri.16.accept;I shall uphold our traditions.;;;;;;;;;;;;;x
ekakaviri.16.dont;The scene is quite pretty, but symbolic of nothing more.;;;;;;;;;;;;;x
ekakaviri.17.desc;During my journey eastward, I come across a bridge with a small shrine before it. An inscription on the shrine bids all who use the bridge leave an offering.;;;;;;;;;;;;;x
ekakaviri.17.accept;I honour the request.;;;;;;;;;;;;;x
ekakaviri.17.dont;Who's going to make me?;;;;;;;;;;;;;x
ekakaviri.18.desc;Making my way eastward, I find a spectacular gem lying in the snow. Several minutes later, a distraught wanderer encounters me, asking if I've seen a gem similar to the one I found.;;;;;;;;;;;;;x
ekakaviri.18.accept;Return the gem to the wanderer.;;;;;;;;;;;;;x
ekakaviri.18.dont;I haven't seen anything, no.;;;;;;;;;;;;;x
ekakaviri.19.desc;The past few days have been extremely tiring. The eastern wind piles the snow ever higher, and the yields from my hunting grows ever slimmer.;;;;;;;;;;;;;x
ekakaviri.19.accept;I must press onwards.;;;;;;;;;;;;;x
ekakaviri.19.dont;I should take it easy.;;;;;;;;;;;;;x
ekakaviri.20.desc;My journey to the north has brought me to a small shrine with a fresh offering set upon it.;;;;;;;;;;;;;x
ekakaviri.20.accept;Add the offering to my rations.;;;;;;;;;;;;;x
ekakaviri.20.dont;Pass by respectfully.;;;;;;;;;;;;;x
ekakaviri.21.desc;As I travel onwards, a rare warm breeze strikes me from the north; a reminder of the lands that lie beyond this frozen tundra.;;;;;;;;;;;;;x
ekakaviri.21.accept;I will sail north, one day.;;;;;;;;;;;;;x
ekakaviri.21.dont;This land is enough for me.;;;;;;;;;;;;;x
ekakaviri.22.desc;In the slightly busier region of the north, I pass a group of traders on the road. Observing their great riches, one thought fills my mind.;;;;;;;;;;;;;x
ekakaviri.22.accept;It should be mine!;;;;;;;;;;;;;x
ekakaviri.22.dont;They've done quite well.;;;;;;;;;;;;;x
ekakaviri.23.desc;As I seek shelter in the mountains, I find that there's a pack of wolves seeking shelter in the same cave as me.;;;;;;;;;;;;;x
ekakaviri.23.accept;Harvest their pelts.;;;;;;;;;;;;;x
ekakaviri.23.dont;Back away slowly.;;;;;;;;;;;;;x
ekakaviri.24.desc;I can see a host of undead chasing some poor child below. The dead are sacred, but if I do nothing, the boy will surely die.;;;;;;;;;;;;;x
ekakaviri.24.accept;Such is life.;;;;;;;;;;;;;x
ekakaviri.24.dont;I had better not regret saving them.;;;;;;;;;;;;;x
ekakaviri.25.desc;Summiting a mountain, I can see the great expanse of the lands of the Kamal: the crowning glory of any domestic empire, and a strong base from which to expand.;;;;;;;;;;;;;x
ekakaviri.25.accept;The world shall be mine!;;;;;;;;;;;;;x
ekakaviri.25.dont;What could be better than this scenery?;;;;;;;;;;;;;x
ekakaviri.26.desc;I have finally returned to [Root.Capital.GetName]. My journey has been an enlightening experience, and I return to my throne as a changed ruler.;;;;;;;;;;;;;x
ekakaviri.26.accept;At last!;;;;;;;;;;;;;x
