enter_sancre_tor;After dealing with the goblins you find yourself in the mighty Entry Hall of Sancre Tor, it seems some kind of necromancy was used here as the Skeletons of the old Dragonguard rise to defend their long-gone masters. Luckily, they don't seem to notice you just yet.;;;;;;;;;;;;;x
blades_skeletons_sancre_tor;As you enter the Hall of Judgement you see the throne room of the old rulers, it's very imponent and you need to cross it to enter the Catacombs, the only problem is that there is a mighty undead Dragonguard by the throne...;;;;;;;;;;;;;x
deep_into_sancre_tor;After getting a bit lost you find your way to the Catacombs. The way to the Tomb of the Reman Emperors is clear and mighty, altrough there seem to be many undead in that direction...;;;;;;;;;;;;;x
tomb_of_the_reman_emperors;You're in the Tomb of the Reman Emperors! Few have been given the honour to ever enter this place, you see the ancient tombs of Reman, Brazollus, Kastav and Reman II... Now it's only a question of finding where the Amulet was hidden.;;;;;;;;;;;;;x
warden_kastav_sancre_tor;Out of nowhere, a wall fall behind you, it seems the old Prison is in the other side and from the hole a powerful undead appears, old Warden Kastav, looking for the intruder in his Emperor's tomb.;;;;;;;;;;;;;x
amulet_of_kings_sancre_tor;After some hassle you find it! The Amulet of Kings! The stone shines in bright red and look just as new. As you hold it, the undead seem to leave you be.;;;;;;;;;;;;;x
amulet_of_kings_sancre_tor_B;The Amulet is nowhere to be found. Although you have proven capable in your quest, you were not the first to get here.;;;;;;;;;;;;;x
white_gold_coronation;White-Gold Coronation;;;;;;;;;;;;;x
white_gold_coronation_desc;Prepare a coronation ceremony at the White-Gold Tower.;;;;;;;;;;;;;x
aflavor.2.desc;To celebrate the beginning of my reign as ruler of White-Gold Tower, nothing more appropriate than a coronation celebration at the centre of the Imperial City! The only question is, who shall direct the ceremony?;;;;;;;;;;;;;x
aflavor.2.religious_head;I will ask my religious leader to crown me;;;;;;;;;;;;;x
aflavor.2.self;I will crown myself!;;;;;;;;;;;;;x
aflavor.3.desc;It's with great piety that I ask you to coronate me in a pompous ceremony on the White-Gold Tower.;;;;;;;;;;;;;x
aflavor.3.accept;I'll do it;;;;;;;;;;;;;x
aflavor.3.refuse;I won't do it!;;;;;;;;;;;;;x
aflavor.4.desc;I accept your invitation and will conduct your coronation ceremony, may [Root.Religion.GetRandomGodName] bless your reign.;;;;;;;;;;;;;x
aflavor.4.opta;Excellent, I shall begin planning the ceremony.;;;;;;;;;;;;;x
aflavor.5.desc;I deny your request and will not conduct your coronation ceremony, [Root.Religion.GetRandomGodName] has no sympathy for you.;;;;;;;;;;;;;x
aflavor.5.self_coronation;I'll just crown myself!;;;;;;;;;;;;;x
aflavor.5.abandon;Forget it...;;;;;;;;;;;;;x
aflavor.6.title;Religious Coronation;;;;;;;;;;;;;x
aflavor.6.desc;The White-Gold Tower is full of lords, priests, and foreign emissaries representing the most distinct nations of Tamriel. The throne room is vibrantly decorated, and your religious leader awaits you beside the throne holding your crown as you slowly approach and drop to a knee before him. You feel the crown's weight set upon your head, its fit perfect just over your ears. Everyone cheers and applauds as you rise once more and make your speech.;;;;;;;;;;;;;x
aflavor.6.dragonfires;Time to light the Dragonfires!;;;;;;;;;;;;;x
aflavor.6.finish;By the grace of [Root.Religion.GetRandomGodName], may my reign be prosperous!";;;;;;;;;;;;;x
aflavor.7.title;Self Coronation!;;;;;;;;;;;;;x
aflavor.7.desc;The White-Gold Tower is full of lords, knights and foreign emissaries representing the most distinct nations of Tamriel. The throne room is vibrantly decorated, and you smile as you notice your crown resting upon the throne. You slowly, yet confidently, approach, taking it up in hand, examining it for a moment before gently placing it over your brow. You feel the crown's weight set upon your head, its fit perfect just over your ears. Everyone cheers and applauds as you turn to face them once more and make your speech.;;;;;;;;;;;;;x
aflavor.7.finish;May my reign be prosperous!;;;;;;;;;;;;;x
aflavor.7.dragonfires;Time to light the Dragonfires!;;;;;;;;;;;;;x
aflavor.8.not_dragonblood.no_amulet;Let's just try it...;;;;;;;;;;;;;x
aflavor.8.not_dragonblood.amulet;I have the Amulet of Kings!;;;;;;;;;;;;;x
aflavor.8.dragonblood.no_amulet;My blood is noble!;;;;;;;;;;;;;x
aflavor.8.dragonblood.amulet;My blood and the Amulet shall light those sacred fires!;;;;;;;;;;;;;x
aflavor.9.opta;My reign is blessed!;;;;;;;;;;;;;x
DRAGONFIRE_ENDS_DAEDRIC_INVASION_CT;As the Amulet and your blood light the Dragonfires, the barriers between Oblivion and Mundus are strengthened once more. All around Tamriel, the Daedric hordes are fading away, and the terrifying armies of the invading Prince have no choice but to run back to their master, or face disintegration.\nThe world is safe, thanks to you.;;;;;;;;;;;;;x
aflavor.10.opta;I shouldn't even have tried it...;;;;;;;;;;;;;x
aflavor.20.t;Dawn of a new Era;;;;;;;;;;;;;x
aflavor.20.d;The Second Era was the Era of chaos. After the end of the Reman dynasty and of the Akaviri Potentate, Tamriel was torn by petty civil wars, Daedric invasions, and invaders from other lands. Its people, our people, were left without a rightful ruler, who could live up to the legacy of Reman or Alessia.\n\nToday this Era of chaos end.\n\nI, [Root.GetTitledFirstNameWithNick] [Root.GetOnlyDynastyName], officially proclaim the end of the Second Era, and the beginning of the Third Era. An Era of peace and unity, where Tamriel can finally rest, and prosper.;;;;;;;;;;;;;x
aflavor.20.optA;Long live the Empire.;;;;;;;;;;;;;x
try_dragonfires_desc;You walk to the Templum in the Temple District and gaze upon the unmistakable, decorated ritual circle where the sacred Dragonfires once burned, keeping the liminal barriers between Nirn and Oblivion stable. Only those with the Dragonblood and the Amulet of Kings may reaffirm the ancient covenant with Akatosh.;;;;;;;;;;;;;x
dragonfire_work_desc;The fires are rekindled, and suddenly erupt in a nearly blinding flash of light. You have ignited the sacred Dragonfires! This is a clear sign of your divine will to rule and the liminal barriers between Nirn and Oblivion have been sealed once more!;;;;;;;;;;;;;x
dragonfire_no_work_desc;The fires are rekindled, but last for only a moment before flaming out. You try again to light the fires, but nothing happens.;;;;;;;;;;;;;x
light_dragonfires;Light the Dragonfires;;;;;;;;;;;;;x
light_dragonfires_desc;Attempt to light the Dragonfires and close shut the jaws of Oblivion.;;;;;;;;;;;;;x
EVT_TITLE_DCDIS_1;The Daggerfall Covenant Dissolves!;;;;;;;;;;;;;x
EVTDESC_DCDIS_1;King Emeric of Wayrest, leader of the Dagerfall Covenant is dead - and so is his biggest achievement. The Breton lords are not able to find a successor they all would support, thus the Daggerfall Covenant has disbanded.;;;;;;;;;;;;x
EVTDCDIS_1;Bretons just can't get along with each other...;;;;;;;;;;;;x
aflavor.30.t;Dragons sighted in Tamriel!;;;;;;;;;;;;;x
aflavor.30.d;Dragons had not been sighted in Tamriel for millenia, after the Dragon War and their presumed gradual extinction. Some people claimed to have spotted one during their travels, but most of these claims have been dismissed as either a trick of the mind, or a sinister joke.\nBut now the world has to face the truth. Dragons, called forth by [Root.GetTitledName], have been seen and heard all accross the province.\n\nTimes are changing. Will this usher a new age of Dragon rule over Tamriel? Or will they keep following [Root.GetBestName]? Only time will tell...;;;;;;;;;;;;;x
aflavor.30.optA;A terrifying thought!;;;;;;;;;;;;;x
aflavor.30.optB;The Dragons will rule once more!;;;;;;;;;;;;;x
aflavor.31.t;A Dance of Dragons;;;;;;;;;;;;;x
aflavor.31.d;A once in a lifetime event occured this very morning in the Imperial Isle. At the break of dawn, the inhabitants were woken up by terrific roars, the now known sound of the great Dragons, flying towards the Imperial City. As the city started to worry, the pack of beautiful beasts appeared, led by the biggest and most majestic of them.\n[Root.GetTitledName], known for his ability to speak the tongue of these Dragons, was riding the leader and guiding the pack towards the center of the city, White-Gold Tower.\nAs all the city watched in awe and fear, the Dragons began circling around the White-Gold Tower, with the pack leader landing at the very top of the Tower, with [Root.GetTitledName] on its back.;;;;;;;;;;;;;x
aflavor.31.optA;What kind of madness is this?!;;;;;;;;;;;;;x
aflavor.31.optB;All hail [Root.GetTitledName]!;;;;;;;;;;;;;x
aflavor.40.d;Countless bodies lie on the battlefield after the last battle. As the [Root.Religion.GetScriptureName] dictates, they are to be ritually eaten before they rot. Some of our generals and of our men have already picked a body and are preparing them for tonight's feast. Should we join them?;;;;;;;;;;;;;x
aflavor.40.optA;Let us feast!;;;;;;;;;;;;;x
aflavor.40.optB;Not tonight.;;;;;;;;;;;;;x
aflavor.50.d;It seems my charms are irresistible. I have gained a new lover, and my standing among the followers of the [Root.Religion.GetName] has increased.;;;;;;;;;;;;;x
aflavor.51.d;Unfortunately, I have lost a lover. My standing among the followers of [Root.Religion.GetName] has decreased.;;;;;;;;;;;;;x
