EVTDESC39222;We have caught [From.GetTitledFirstName] attempting to smuggle out a letter to the [From.RelHead.GetTitle], where [From.GetSheHe] wishes the [From.RelHead.GetTitle] to intervene on [From.GetHerHis] behalf.;Nous avons intercepté une lettre clandestine [From.Get_du_Title][From.GetTitledFirstName] à l'intention du [From.RelHead.GetTitle] dans laquelle il demande au Saint-Père d'intercéder en sa faveur.;Wir haben [From.GetTitledFirstName] dabei erwischt, einen Brief an den [From.RelHead.GetTitle] hinaus zu schmuggeln, in dem er den Heiligen Vater zum Einschreiten seinethalben bittet.;;Hemos pillado a [From.GetTitledFirstName] intentando sacar ilícitamente una carta al [From.RelHead.GetTitle] en la que le insta a intervenir en su nombre.;;;;;;;;;x
EVTOPTA39222;Slit [From.GetHerHis] throat!;Qu'on lui tranche la gorge !;Schneidet ihm die Kehle durch!;;¡Degüéllale!;;;;;;;;;x
EVTOPTB39222;[Root.Religion.GetRandomGodName] will judge us.;[Root.Religion.GetRandomGodName] nous jugera.;[Root.Religion.GetRandomGodName] wird über uns richten!;;[Root.Religion.GetRandomGodName] nos juzgará.;;;;;;;;;x
EVTDESC39223;The prayers of [From.GetTitledFirstName] have not gone unnoticed. Is there such a thing as a limit to my power?;Les prières [From.Get_du_Title][From.GetTitledFirstName] ont été entendues. Y a-t-il une limite à mon pouvoir ?;Die Gebete von [From.GetTitledFirstName] sind nicht ungehört geblieben. Ach, meine Macht scheint grenzenlos zu sein!;;Las oraciones de [From.GetTitledFirstName] no han pasado desapercibidas. ¿Acaso mi poder tiene límite?;;;;;;;;;x
EVTOPTA39223;I can't keep a man of [Root.Religion.GetRandomGodName] imprisoned.;Je ne peux pas garder un homme de [Root.Religion.GetRandomGodName] en prison.;Ich kann keinen Mann [Root.Religion.GetRandomGodName] im Kerker behalten.;;No puedo mantener encerrado a un hombre de [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTOPTB39223;[From.GetSheHeCap] is still a traitor...;C'est toujours un traître...;Er ist immer noch ein Verräter ...;;Sigue siendo un traidor...;;;;;;;;;x
EVTDESC39224;[From.GetTitledFirstName] has come to our intervention and written a stern letter to [Root.Host.GetTitledFirstName] demanding our release.;[From.Get_Le_Title][From.GetTitledFirstName] a intercédé en notre faveur en rédigeant une lettre sévère à l'intention [Root.Host.Get_du_Title][Root.Host.GetTitledFirstName] pour lui demander notre libération.;[From.GetTitledFirstName] ist unserethalben eingeschritten und hat in einem strengen Brief an [Root.Host.GetTitledFirstName] unsere Freilassung gefordert.;;[From.GetTitledFirstName] ha atendido nuestra intervención y ha escrito una dura carta a [Root.Host.GetTitledFirstName] para que nos libere.;;;;;;;;;x
EVTOPTA39224;Praise [Root.Religion.GetRandomGodName]!;Loué soit [Root.Religion.GetRandomGodName]!;[Root.Religion.GetRandomGodName] sei gepriesen!;;¡Alaba [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTTOOLTIP39226;I am sure [Root.Host.GetTitledFirstName] will release us now.;Je suis sûr[Root.GetNoneE] que [Root.Host.Get_le_Title][Root.Host.GetTitledFirstName] va nous libérer.;[Root.Host.GetTitledFirstName] wird uns jetzt sicherlich freilassen.;;Sin duda ahora [Root.Host.GetTitledFirstName] nos liberará.;;;;;;;;;x
EVTDESC39225;A secret messenger from [From.GetTitledFirstName] has arrived, telling me that the [Root.RelHead.GetTitle] can do nothing to help me..;Un messager secret [From.Get_du_Title][From.GetTitledFirstName] est venu m'annoncer que le [Root.RelHead.GetTitle] ne peut rien pour moi.;Ein Geheimbote von [From.GetTitledFirstName] hat mir berichtet, dass der [Root.RelHead.GetTitle] mir nicht helfen kann ...;;Ha llegado un mensajero secreto de [From.GetTitledFirstName] y me ha dicho que el [Root.RelHead.GetTitle] no puede ayudarme...;;;;;;;;;x
EVTOPTA39225;[Root.Religion.GetRandomGodName], why have you forsaken me?;[Root.Religion.GetRandomGodName], pourquoi m'avez-vous abandonné[Root.GetNoneE] ?;[Root.Religion.GetRandomGodName], warum hast du mich verlassen?;;[Root.Religion.GetRandomGodName], ¿por qué me has abandonado?;;;;;;;;;x
EVTDESC39226;A letter has arrived from the [Root.RelHead.GetTitle], demanding that we release [From.GetTitledFirstName] from our prison and submit to the will of [Root.Religion.GetRandomGodName].;Une lettre du [Root.RelHead.GetTitle] est arrivée. Il nous demande de libérer [From.Get_le_Title][From.GetTitledFirstName] et de nous soumettre à la volonté de [Root.Religion.GetRandomGodName].;Ein Brief des [Root.RelHead.GetTitle] ist eingetroffen. Er verlangt, dass wir [From.GetTitledFirstName] aus unserem Kerker freilassen und ihm dem Willen [Root.Religion.GetRandomGodName] überstellen.;;Ha llegado una carta del [Root.RelHead.GetTitle]. Pide que liberemos a [From.GetTitledFirstName] y le sometamos a la voluntad de [Root.Religion.GetRandomGodName].;;;;;;;;;x
EVTOPTA39226;I bend my knee for the [Root.RelHead.GetTitle].;Je m'agenouille devant le [Root.RelHead.GetTitle].;Ich knie vor dem [Root.RelHead.GetTitle] nieder;;Me arrodillo ante el [Root.RelHead.GetTitle];;;;;;;;;x
EVTOPTB39226;I am [Root.PrimaryTitle.GetRulerTitle]!;Je suis [Root.PrimaryTitle.GetRulerTitle] !;Ich bin [Root.PrimaryTitle.GetRulerTitle]!;;¡Soy [Root.PrimaryTitle.GetRulerTitle]!;;;;;;;;;x
EVTOPTA50006;Let [From.GetObjectPronoun] rot!;Qu’on le(la) laisse pourrir !;[From.GetObjectPronoun] soll verrotten;;Que se pudra;;;;;;;;;x
EVTOPTB50006;Very well, I shall be merciful.;Très bien, je vais faire preuve de clémence ;Nun gut, ich werde Gnade walten lassen;;Bueno, seré compasivo;;;;;;;;;x
EVTOPTB64055;Maybe it will pass.;Ça va peut-être lui passer.;Vielleicht ist es nur eine Phase.;;Puede que se le pase.;;;;;;;;;x
EVTOPTC64055;Separate them.;Les séparer.;Sie müssen getrennt werden.;;Separadlos.;;;;;;;;;x
EVTOPTC71000;Refuse them access!;Je leur refuse l’accès !;Sie sind hier nicht erwünscht!;;¡Niégales el acceso!;;;;;;;;;x
EVTOPTA72003;I will spend lavishly on food.;Je dépenserai sans compter pour la nourriture.;Beim Essen nur das Beste. Geld spielt keine Rolle!;;Gastaré mucho en comida.;;;;;;;;;x
EVTOPTB72003;Spend enough on food to satisfy everyone's hunger.;Dépenser suffisamment pour la nourriture permet de satisfaire l’appétit de chacun.;Genug ausgeben, dass niemand hungrig nach Hause gehen muss.;;Gastaré lo suficiente en comida para saciar el hambre de todos.;;;;;;;;;x
EVTOPTC72003;I don't want to spend too much on food.;Je ne veux pas trop dépenser pour la nourriture.;Ich möchte nicht zu viel für das Essen ausgeben.;;No quiero gastar mucho en comida.;;;;;;;;;x
EVTOPTB72007;Nothing but simple tricks!;Rien de bien impressionnant !;Nichts als simple Trickserei;;Solo son trucos;;;;;;;;;x
EVTOPTA72008;Send out my [Root.GetMarshalName], [Root.job_marshal.GetTitledFirstName].;J’en charge le Maréchal [Root.job_marshal.GetTitledFirstName].;Marschall [Root.job_marshal.GetTitledFirstName] soll es machen;;Envía al Alguacil [Root.job_marshal.GetTitledFirstName];;;;;;;;;x
EVTOPTB72008;Send out my son.;J’en charge mon fils.;Meinem Sohn gebührt diese Aufgabe;;Envía a mi hijo;;;;;;;;;x
EVTOPTD72008;Force the peasants to hunt.;J’ordonne aux paysans de s’en charger.;Die Bauern zur Jagd zwingen;;Obliga a cazar a los campesinos;;;;;;;;;x
EVTOPTA72010;I hereby invite you to...;Par la présente, je vous invite à...;Hiermit lade ich Euch ein zum ...';;Por la presente te invito...';;;;;;;;;x
EVTOPTA72023;That was well spoken, thank you.;C’était bien dit, merci !;Danke, das war gut gesprochen!;;Ahí queda bien dicho, gracias.;;;;;;;;;x
EVTOPTA72110;I had great fun and so did everyone else.;J’ai beaucoup apprécié, comme tout le monde.;Ich hatte viel Spaß, und alle anderen auch.;;Me he divertido mucho, como todo el mundo.;;;;;;;;;x
EVTOPTA72112;Let us hope so.;Espérons-le !;Lasst uns darauf hoffen.;;Esperemos que así sea.;;;;;;;;;x
EVTOPTB72120;Great fun, but my guests are too old for this.;Très amusant, mais mes invités sont trop vieux pour ça;Sehr erheiternd, doch meine Gäste sind zu alt für so etwas;;Muy divertido, pero mis huéspedes son demasiado mayores para esto;;;;;;;;;x
#EVTOPTA73231;[From.GetSheHeCap] is now my new [Root.GetLordSpiritualName].;[From.GetSheHeCap] est désormais mon nouveau Chapelain.;[From.GetSheHeCap] ist von nun an mein neuer Geistlicher Lord;;[From.GetSheHeCap] es ahora mi nuevo Noble Espiritual;;;;;;;;;x
#EVTOPTA73234;[From.GetSheHeCap] is now my new [Root.GetLordSpiritualName].;[From.GetSheHeCap] est désormais mon nouveau Chapelain;[From.GetSheHeCap] ist von nun an mein neuer Geistlicher Lord;;Ahora [From.GetSheHe] es mi nuevo Noble Espiritual;;;;;;;;;x
EVTOPTA73003;We can afford it...;Nous en avons les moyens.;Das können wir uns leisten!;;Podemos permitírnoslo...;;;;;;;;;x
EVTOPTA74047;It was great fun while it lasted.;Tout s’est très bien passé.;Es hat großen Spaß gemacht;;Fue divertido mientras duró.;;;;;;;;;x
EVTOPTA75095;Question [Root.job_treasurer.GetTitledFirstName].;Interrogez [Root.job_treasurer.GetTitledFirstName].;[Root.job_treasurer.GetTitledFirstName] befragen.;;Pregunta a [Root.job_treasurer.GetTitledFirstName].;;;;;;;;;x
EVTOPTB75095;I don't care.;Je n’en ai que faire!;Ist mir egal;;No me importa.;;;;;;;;;x
EVTOPTB100201;Give it up. You and swords will never work.;Laissez tomber. L'épée et vous, ça fait deux.;Gebt auf. Ihr und Schwerter wird nie funktionieren.;;Abandona. Tú y las espadas nunca os vais a llevar bien.;;;;;;;;;x
EVTOPTC100201;I'm risking my life, so I'd like to get paid.;Je risque ma vie pour vous aider, alors j'aimerais une compensation financière.;Ich riskiere mein Leben, also möchte ich bezahlt werden.;;Estoy arriesgando mi vida, así que me gustaría que se me pagara.;;;;;;;;;x
EVTTOOLTIP100203;[This.GetTitledFirstName] is disappointed but accepts [Root.GetTitledFirstName]'s refusal to teach him;est déçu que [Root.GetTitledFirstName] refuse de l'aider mais se résigne.;ist enttäuscht, aber akzeptiert [Root.GetTitledFirstName]s Weigerung ihm zu helfen;;se siente decepcionado, pero acepta la negativa a enseñarle de [Root.GetTitledFirstName].;;;;;;;;;x
EVTTOOLTIP100204;considers [Root.GetTitledFirstName]'s request.;réfléchit à la requête de [Root.GetTitledFirstName]. ;erwägt [Root.GetTitledFirstName]s Ansinnen;;considera la solicitud de [Root.GetTitledFirstName];;;;;;;;;x
EVTOPTC100231;You want my advice? Then it'll cost you.;Vous voulez mon avis ? Alors il vous faudra débourser quelques pièces.;Ihr wollt meinen Rat? Dann wird Euch das etwas kosten;;¿Quieres mi consejo? Te costará;;;;;;;;;x
EVTDESC100230;The [Root.Religion.GetName] priests are constantly pestering me about religion, [Root.Religion.GetRandomGodName] and money for the faith. No matter what I do, they won't leave me alone!;Les prêtres [Root.ReligionMascPl] ne cessent de me harceler au sujet de la religion, [Root.Get_du_HighGod][Root.Religion.GetHighGodName] et de me réclamer de l'argent pour le clergé. Quoi que je fasse, que je promette de prier de façon plus assidue ou de lire les saintes écritures plus régulièrement, ils ne me laissent jamais en paix !;Die [Root.Religion.GetName]en Priester belästigen mich ständig wegen der Religion, [Root.Religion.GetRandomGodName] und dem Geld für die Kirche. Egal was ich tue, versprechen zu beten oder die Heilige Schrift gründlicher zu lesen, sie lassen mich nicht in Ruhe!;;Los sacerdotes de [Root.Religion.GetName] me acosan acerca de la religión, [Root.Religion.GetRandomGodName] y el dinero para la iglesia. No importa lo que haga, que prometa rezar más o que lea las sagradas escrituras detenidamente, ¡no me dejan tranquilo!;;;;;;;;;x
EVTOPTB100230;Oh [Root.Religion.GetRandomGodName], help me and I'll be a better [Root.GetManWoman]!;Que [Root.Religion.GetRandomGodName] me vienne en aide et je serai un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.ReligionMascFem] !;[Root.Religion.GetRandomGodName], hilf mir und ich werde ein besserer Gläubiger!;;¡Oh [Root.Religion.GetRandomGodName], ayudame y seré mejor [Root.Religion.GetName]!;;;;;;;;;x
EVTOPTA_WOL_2300;Time to spy on the spy.;Il est temps d'espionner l'espion.;Höchste Zeit, dem Spion nachzuspionieren.;;Tiempo de espiar al espía.;;;;;;;;;x
EVTOPTB_WOL_2300;No, I can trust [intrigue_spymaster.GetObjectPronoun].;Non, je peux avoir confance en [intrigue_spymaster.GetObjectPronoun].;Nein, ich kann [intrigue_spymaster.GetObjectPronoun] vertrauen.;;No, yo puedo fiarme de [intrigue_spymaster.GetObjectPronoun].;;;;;;;;;x
EVTDESC_WoL_6020;You have spent many nights looking at the celestial bodies in your observatory. It is truly fascinating.  There are so many questions to ask...;Vous avez passé de nombreuses nuits à observer les étoiles depuis votre observatoire. C'est véritablement fascinent, j'ai tant de questions...;Ihr verbringt viele Nächte damit, in Eurem Observatorium die Sterne zu betrachten. Es ist wahrhaft faszinierend. Es gibt so viele offene Fragen...;;Has pasado muchas noches mirando las estrellas en el observatorio. Es verdaderamente fascinante, hay tantas preguntas...;;;;;;;;;x
EVTOPTA_WoL_6020;How do the moons move about in Mundus?;;;;;;;;;x
EVTOPTB_WoL_6020;What secrets does Oblivion hold?;;;;;;;;;x
