zlocalisation;This file is for me, Korba, to place localisation that should probably be rewritten before release rather than place it into the main localisation files. Feel free to add your own.;;;;;;;;;;;;;x
otherfiles;Other files might need your help, torture_localisation, flea_ixa_localisations;;;;;;;;;;;;;x
informplotter;Inform the main plotter.;;;;;;;;;;;;;x
kambition180d;You go on an amazing adventure but Korba right now is uninspired and so can't think of an event chain to write. He's also waiting for the adventure framework from teotl. Good News! You have the Amulet of Kings!  Tea and biscuits all-round!;;;;;;;;;;;;;x
kplot2d;[From.GetBestName] (the plotbacker) informs you that an attempt will be made to kidnap the target whilst they're travelling.;;;;;;;;;;;;;x
kplot2o1;Make it so.;;;;;;;;;;;;;x
kplot2o2;I don't think this is such a good idea.;;;;;;;;;;;;;x
kplot3d;Text to notify the victim they've been kidnapped by [From.GetTitledFirstName].;;;;;;;;;;;;;x
kplot3o;Oh no!;;;;;;;;;;;;;x
EVTOPTALoR.886;Tell us more about this mythical realm of Yokuda.;Dites-m'en plus sur ce royaume mythique de Hindoustan.;Erzählt uns mehr über dieses mysteriöse Reich der Hindustani.;;Cuéntanos más acerca de este mítico reino de Indostán.;;;;;;;;;x
kplot6d;Your planned kidnapping has been successful!;;;;;;;;;;;;;x
kplot7d;The attempted kidnap has failed, although my involvement remains unknown.;;;;;;;;;;;;;x
kplot8d;The attempted kidnap has failed. Unfortunately one of the ruffians that was employed for the task has revealed my involvement!;;;;;;;;;;;;;x
kplot8o;That's bad;;;;;;;;;;;;;x
kplot1d;Event fires on Plot Backer, informs Plot Backer of chance to kidnap target while target is travelling.;;;;;;;;;;;;;x
opinion_attempted_kidnap;Attempted Kidnap;;;;;;;;;;;;;x
opinion_kidnapped_family;Kidnapped Family;;;;;;;;;;;;;x
opinion_kidnapped_me;Kidnapped Me;;;;;;;;;;;;;x
kplot10d;Event fires on Plot Backer, informs Plot Backer of chance to kidnap target while target is asleep in their chambers.;;;;;;;;;;;;;x
kplot11d;[From.GetBestName] (the plotbacker) informs you that an attempt will be made to kidnap the target whilst they are in their chambers.;;;;;;;;;;;;;x
kvamps1d;Out one night at an ungodly hour you find yourself alone in a darkened street. You hear a rustling from the shadows, and before you know it someone is holding you fast and you feel a sharp pain at your neck, and moments later all is darkness...;;;;;;;;;;;;;x
kvamps1o;Eep!;;;;;;;;;;;;;x
EKPlots80;A carriage ride in the countryside can be so peaceful, so relaxing...and so far away from the prying eyes of city guards. It provides an excellent opportunity to launch a kidnapping.;;;;;;;;;;;;;x
EKPlots80Accept;Excellent indeed.;;;;;;;;;;;;;x
EKPlots82;[From.GetFirstName] has worked out a deal with local bandits to have [plot_target.GetFirstName] kidnapped the next time [plot_target.GetSheHe] is traveling by carriage.;;;;;;;;;;;;;x
EKPlots82Accept;Next stop - the dungeons of [Root.Capital.GetName]!;;;;;;;;;;;;;x
EKPlots83;While out traveling, my carriage is suddenly halted. I glance outside to see a small army of bandits slaughtering my guards! I step outside the carriage, and fight for my life...but I find myself quickly overwhelmed by the attackers who gag me, tie me up and throw me inside a cloth sack. When my bindings are finally removed, it is by a guard in a dungeon cell who sternly tells me that I'm a captive of [From.GetBestName]!;;;;;;;;;;;;;x
EKPlots83Accept;Curse you, [From.GetFirstName]!;;;;;;;;;;;;;x
EKPlots84;While out traveling, my carriage is suddenly halted. I glance outside to see a small army of bandits slaughtering my guards! I step outside the carriage and join in the fighting. Leading my surviving retainers, we defeat our assailants, none of whom survive the battle.;;;;;;;;;;;;;x
EKPlots84Accept;That should make the roads a little safer...;;;;;;;;;;;;;x
EKPlots85;While out traveling, my carriage is suddenly halted. I glance outside to see a small army of bandits slaughtering my guards! I step outside the carriage and join in the fighting. Leading my surviving retainers, we defeat our assailants, and interrogate the band's lone, badly-wounded survivor. "We were sent by [From.GetBestName] to kidnap you," he claims. "I swear, this was [From.GetHerHis] idea - not mine!";;;;;;;;;;;;;x
EKPlots85Accept;[From.GetFirstName] will pay for this!;;;;;;;;;;;;;x
EKPlots86;The ruffians hired out to kidnap [plot_target.GetFirstName] have reported that [plot_target.GetSheHe] is now a prisoner within the confines of my dungeon!;;;;;;;;;;;;;x
EKPlots86Accept;Excellent!;;;;;;;;;;;;;x
EKPlots87;The ruffians hired out to kidnap [plot_target.GetFirstName] were found dead, their corpses left for the scavengers. Thankfully, [plot_target.GetFirstName] is unaware of my involvement.;;;;;;;;;;;;;x
EKPlots87Accept;Alas!;;;;;;;;;;;;;x
EKPlots88;The ruffians hired out to kidnap [plot_target.GetFirstName] have been defeated, and one of them was cowardly enough to reveal my involvement in the matter!;;;;;;;;;;;;;x
EKPlots88Accept;Curses!;;;;;;;;;;;;;x
do_not_hire_me;Refuse Liege Requests;;;;;;;;;;;;;x
do_not_hire_me_desc;Render yourself unavailable to appointment upon your liege's Council.  This is perfect for those who would rather stay at home without constantly getting asked by their liege to occupy a job. Your liege may still attempt to recruit you as a Commander.;;;;;;;;;;;;;x
please_hire_me;Permit Liege Requests;;;;;;;;;;;;;x
please_hire_me_desc;You have decided to make yourself available to your liege.  You will now be able to receive job requests and to lead your own armies.;;;;;;;;;;;;;x
faction_houseless;The Houseless;;;;;;;;;;;;;x
faction_houseless_title;The Houseless are the exiled and unaligned members of Dunmer society.;;;;;;;;;;;;;x
faction_veloth;House Veloth;;;;;;;;;;;;;x
faction_veloth_title;NO_DESC (Description of the House);;;;;;;;;;;;;x
faction_sul;House Sul;;;;;;;;;;;;;x
faction_sul_title;NO_DESC (Description of the House);;;;;;;;;;;;;x
faction_sadras;House Sadras;;;;;;;;;;;;;x
faction_sadras_title;NO_DESC (Description of the House);;;;;;;;;;;;;x
faction_telvanni;House Telvanni;;;;;;;;;;;;;x
faction_telvanni_title;NO_DESC (Description of the House);;;;;;;;;;;;;x
faction_redoran;House Redoran;;;;;;;;;;;;;x
faction_redoran_title;NO_DESC (Description of the House);;;;;;;;;;;;;x
faction_indoril;House Indoril;;;;;;;;;;;;;x
faction_indoril_title;NO_DESC (Description of the House);;;;;;;;;;;;;x
faction_hlaalu;House Hlaalu;;;;;;;;;;;;;x
faction_hlaalu_title;NO_DESC (Description of the House);;;;;;;;;;;;;x
faction_dres;House Dres;;;;;;;;;;;;;x
faction_dres_title;NO_DESC (Description of the House);;;;;;;;;;;;;x
kmane3d;My people bow and kotow to my every whim, and I care for them as a stern father cares for his wayward children. It is the Mane's place to lead his people forth, to find new lands for them to run free and to spread the philosophies of the Riddle'Thar to the four corners of Nirn.;;;;;;;;;;;;;x
kmane3o;I am a strong, powerful Mane!;;;;;;;;;;;;;x
kmane4d;The place of the Mane is not one of domination. He is there to guide his people and show them the ways of the Riddle'Thar, to encourage them to play freely in the sands and jungles of our home, but also to defend it against those that would see us harm. To do this, I must unify my people. To step beyond our lands is to draw the troubles of mer and men upon us.;;;;;;;;;;;;;x
kmane4o;I am a traditionalist Mane.;;;;;;;;;;;;;x
kmane5d;I do not much care for this business of politics, I'd much rather just lounge around and be fed by my servants. Being a Mane is such a tiresome business...;;;;;;;;;;;;;x
kmane5o;So what if they call me weak, I am the Mane none-the-less!;;;;;;;;;;;;;x
flea_theft1d;Event fires on Plot Backer, informs Plot Backer of chance to steal artifact sending thieves while the owner is away.;;;;;;;;;;;;;x
flea_theft10d;Event fires on Plot Backer, informs Plot Backer of chance to steal artifact bribing a servant.;;;;;;;;;;;;;x
flea_theft2d;[From.GetBestName] (the plotbacker) informs you that an attempt will be made to steal the artifact by hiring some thieves whilst the owner is away.;;;;;;;;;;;;;x
flea_theft11d;[From.GetBestName] (the plotbacker) informs you that an attempt will be made to steal the artifact by bribing one of the servants.;;;;;;;;;;;;;x
flea_theft2o1;Make it so.;;;;;;;;;;;;;x
flea_theft2o2;I don't think this is such a good idea.;;;;;;;;;;;;;x
flea_theft3d;Text to notify the victim they've been stolen something;;;;;;;;;;;;;x
flea_theft3o;Oh no!;;;;;;;;;;;;;x
flea_theft2tt1;Theft Succeeds.;;;;;;;;;;;;;x
flea_theft2tt2;Theft Fails.;;;;;;;;;;;;;x
flea_theft2tt3;Theft Fails and our involvement is revealed.;;;;;;;;;;;;;x
flea_theft4d;Victim is informed of failed Theft attempt, plotter unknown.;;;;;;;;;;;;;x
flea_theft5d;Victim is informed of failed Theft attempt, and plotter revealed.;;;;;;;;;;;;;x
flea_theft6d;Your planned Theft has been successful!;;;;;;;;;;;;;x
flea_theft7d;The attempted Theft has failed, although my involvement remains unknown.;;;;;;;;;;;;;x
flea_theft8d;The attempted Theft has failed. Unfortunately one of the ruffians that was employed for the task has revealed my involvement!;;;;;;;;;;;;;x
flea_theft8o;That's bad;;;;;;;;;;;;;x
flea_theft30d;What artifact you'd like to acquire(through theft)?;;;;;;;;;;;;;x
dov;Dov;;;;;;;;;;;;;x
dovah;Dovah;;;;;;;;;;;;;x
culture_dovah;Dovah;;;;;;;;;;;;;x
cultureish_dovah;Dovah;;;;;;;;;;;;;x
dragon_paarthurnax;Paarthurnax;;;;;;;;;;;;;x
dragon_paarthurnax_desc;Once a brutal lieutenant of Alduin's during the Dragon War and responsible for untold atrocities and destruction, Paarthurnax turned from his brother's violent and destructive ways, teaching mortals the use of thu'um and leading to the eventual banishment of Alduin from time and the devastation of his own race. At the close of the Dragon War, Paarthurnax became a student of the Way of the Voice and eventually became the Grandmaster of the Greybeards.;;;;;;;;;;;;;x
dragon_alduin;Alduin, the World-Eater;;;;;;;;;;;;;x
dragon_alduin_desc;The first born and once the greatest of Akatosh's creations. In his pride he sought to conquer Mundus for himself and made claims of godhood, leading to a rebellion amongst his own kin against his rule. As the World-Eater, Alduin is seen as a malevolent force who destroys the world periodically and his return is seen by the Nords as the end times.;;;;;;;;;;;;;x
dragon_3;Ancient Dragon;;;;;;;;;;;;;x
dragon_3_desc;Fearsome and nigh unstoppable are the Ancient Dragons, those few that survived the Dragon War and the banishment of Alduin, living into the twilight years of the second era and perhaps beyond. It would take great cunning, magic or an Army to defeat such an enemy.;;;;;;;;;;;;;x
dragon_2;Elder Dragon;;;;;;;;;;;;;x
dragon_2_desc;Powerful Dragons that have seen the passing of centuries, the rise and fall of Kings and their Kingdoms are known simply as Elder Dragons.;;;;;;;;;;;;;x
dragon_1;Dragon;;;;;;;;;;;;;x
dragon_1_desc;A large reptilian creature capable of flight, they are considered by many to be little more than ferals and monsters but are in fact sapiant and capable of great feats of magic.;;;;;;;;;;;;;x
